Country,Area,Location
USA,Florida,"Near Cocoa Beach, Brevard  County"
USA,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County"
USA,Florida,"Beachway Avenue Approach, New Smyrna Beach, Volusia County"
USA,Florida,"Lovers Key State Park, Bonita Springs, Lee County"
USA,California," Huntington Beach, Orange County"
USA,Florida,"Ponce Inlet, Volusia County"
USA,Florida,"Opposite Patrick Air Force Base, Brevard County"
USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County"
USA,Florida,"Off Fort Pierce, St. Lucie County"
USA,Hawaii,"Waialua Bay, O'ahu"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Round Island Park, Indian River County"
USA,Hawaii,"Wailea, Maui"
USA,California,"Venice Pier, Venice, Los Angeles County"
USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County"
USA,California,"Santa Monica, Los Angeles County"
USA,California,"Moonstone Beach, Humboldt County"
USA,Florida,Jupiter Inlet
USA,Florida,Huguenot Park
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Flagler Beach, Flagler County"
USA,Florida,"Lauderdale-by-the-Sea, Broward County"
USA,Florida,"Pepper Park Beach, St. Lucie County"
USA,Florida,"Daytona Beach, Volusia County"
USA,South Carolina,Sullivan's Island
USA,Florida,"Daytona Beach, Volusia County"
USA,Florida,"Fort Lauderdale, Broward County"
USA,Hawaii,"Ka'a'awa, Oahu"
USA,California,"Marina State Beach, Monterey County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,North Carolina,North Carolina Aquarium at Fort Fisher
USA,Delaware,"Indian River Inlet, Rehoboth Beach"
USA,Florida,"Islamorada Founder's Park, Plantation Key, Monroe County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,South Carolina,"Lakewood Campground, Grand Strand, Horry County"
USA,Florida,Sarasota Bay
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Ponce Inlet,  New Smyrna Beach, Volusia County"
USA,South Carolina,"Isle of Palms, Charleston County"
USA,South Carolina,"Isle of Palms, Charleston County"
USA,Florida,"Islamorada, Monroe County"
USA,Florida,"Ponce Inlet, Volusia County"
USA,California,"Imperial Beach, San Diego County"
USA,California,"Malibu, Los Angeles County"
USA,California,"Bean Hollow State Beach, San Mateo County"
USA,Hawaii,"Bellows Beach near Wailea Point, Oï¿½ahu"
USA,North Carolina,"North Topsail Beach, Onslow  County"
USA,California,"Faria Beach, Ventura County"
USA,North Carolina,"Atlantic Beach, Carteret County"
USA,Florida,"Ponce Inlet, Volusia County"
USA,Florida,Marques Island
USA,California,"Will Rogers State Beach, Los Angeles County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Hawaii,"Silva's Channel, Mokuleia, O'ahu"
USA,Florida,"Vilano Beach, St.  Johns County"
USA,Florida,"Turtle Beach, Siesta Key, Sarasota County"
USA,South Carolina,Garden City
USA,Virginia,"Virginia Aquarium & Marine Science Center, Virginia Beach "
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Hawaii,"Keawakapu Beach, Maui"
USA,Florida,Naples
USA,Florida,"Hutchinson Island, St. Lucie County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Florida Keys, Monroe County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Normandy Beach, Hutchinson Island,  St. Lucie County"
USA,Florida,"Waveland Beach, Hutchinson Island, St. Lucie County"
USA,Florida,Jupiter Inlet
USA,Florida,Delray Beach
USA,Florida,"Tiger Shores Beach, Martin County"
USA,Florida,100 miles off Ft. Myers Beach
USA,New York,"Smith Point, Long Island"
USA,Hawaii,"Majors Bay, Kaua'i"
USA,California,"Dillon Beach, Marin County"
USA,Hawaii,"Kihei, Maui"
USA,Oregon,"Siletz River mouth, Lincoln County"
USA,Florida,Sebastian Inlet
USA,Florida,"Daytona Beach, Volusia County"
USA,Texas,"Isla Blanca Park, South Padre Island"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Off Key Largo, Monroe County"
USA,North Carolina,Onslow Beach
USA,Florida,"Singer Island, Riviera Beach"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Oregon,"Florence, Lane County"
USA,North Carolina,"Masonboro Island, New Hanover County"
USA,Kentucky,"Newport Aquarium, Newport"
USA,Oregon,Oswald State Park
USA,California,"Broad Beach, Malibu, Los Angeles County"
USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Texas,"Sargent Beach, Matagorda County"
USA,South Carolina,"Singleton Beach, Hilton Head Island, Beaufort County"
USA,South Carolina,"Kiawah Island, Charleston County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Ponte Vedra Beach, St Johns County"
USA,South Carolina,"Debordieu Beach, Georgetown County"
USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County"
USA,Florida,"Florida Keys, Monroe County"
USA,Florida,"Florida Keys, Monroe County"
USA,Florida,"Hutchinson Island, St. Lucie County"
USA,Florida,Fort Myers
USA,Florida,"New Smyrna Beach, Volusia County"
USA,California,"Monterey, Monterey County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County"
USA,Hawaii,O'ahu
USA,Hawaii,French Frigate Shoals
USA,Hawaii,"North Shore, O'ahu"
USA,Hawaii,Lanai
USA,Guam,Gun Beach
USA,Florida,"Cocoa Beach, Brevard  County"
USA,Florida,"Hutchinson Island, St. Lucie County"
USA,Florida,"Alligator Reef off Islamorada, Monroe County"
USA,Florida,"Sebastian Inlet, Brevard County"
USA,Florida,"Daytona Beach, Volusia County"
USA,Florida,"Port of the Islands, Collier County"
USA,Florida,"Marco Island, Collier County"
USA,Hawaii,"Leftovers, near Waimea Bay, O'ahu"
USA,Hawaii,"Makena, Maui"
USA,Hawaii,"Makena, Maui"
USA,Hawaii,"Off Pu'u Ola'l, Makena, Maui"
USA,California,"Santa Cruz, Santa Cruz County"
USA,Florida,"Round Island Park, Indian River County"
USA,Oregon,"Tillamook Head, Clatsop County"
USA,Hawaii,"Keawakapu Beach, Maui"
USA,Florida,"Cape San Blas, Gulf County"
USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County"
USA,Florida,"Jensen Beach, Martin County "
USA,Florida,"New Smyrna  Beach, Volusia County"
USA,Florida,"New Smyrna  Beach, Volusia County"
USA,California,"Mavericks, Half Moon Bay, San Mateo County"
USA,California,"Ocean Beach, San Francisco, San Francisco County"
USA,Florida,"Ponce de Leon Inlet, Volusia County "
USA,California,"Klamath River mouth, Del Norte County"
USA,California,"Salmon Beach, Sonoma County"
USA,Florida,"Ponce Inlet, Volusia County"
USA,Hawaii,"Honokowai, Maui"
USA,Florida,"Ponce Inlet, Volusia County"
USA,Florida,"Tigertail Beach, Collier County"
USA,South Carolina,"Myrtle Beach, Horry County"
USA,South Carolina,Folly Beach
USA,North Carolina,"North Topsail Beach, Onslow County"
USA,Florida,"Ponce Inlet, Volusia County"
USA,California,"Scripps, LaJolla, San Diego County"
USA,South Carolina,"6th Avenue North, Myrtle Beach, Horry County"
USA,South Carolina,"34th Avenue North, Myrtle Beach, Horry County"
USA,Texas,Crystal Beach (east of Galveston)
USA,North Carolina,"Carolina Beach off Texas Avenue, New Hanover County"
USA,South Carolina,"Isle of Palms, Charleston County"
USA,Florida,"Off Zelda Boulevard, Daytona Beach, Volusia Countyy"
USA,Florida,"Ormond Beach, Volusia County"
USA,Florida,"Quarter mile south of Ponce de Leon Inlet, Volusia County"
USA,North Carolina,"Holden Beach, Brunswick County"
USA,Texas,"Port Bolivar, Galveston County"
USA,Florida,"Boca Grande, Lee County"
USA,Florida,"Cape San Blas, Gulf County"
USA,Florida,"Destin, Walton County"
USA,Hawaii,Maui
USA,Florida,"Howard E. Futch Memorial Park at Paradise Beach, Brevard County"
USA,South Carolina,"Kiawah Island, Charleston County"
USA,New Jersey,"Surf City, Long Beach Island, Ocean County"
USA,Texas,"Mustang Island, Corpus Christi"
USA,Florida,Daytona Beach Shores
USA,Florida,"Sand Key Beach, Clearwater, Pinellas County"
USA,Hawaii,"North Kihei, Maui"
USA,South Carolina,Off Sullivans Island
USA,Hawaii,"Noreiga's, Maui"
USA,Florida,"Crescent Beach, Sarasota County"
USA,Florida,"Central Gulf Coast, St. John County"
USA,Texas,"Isla Blanca Park, South Padre Island, Cameron County"
USA,Florida,"Jacksonville Beach, Duval County"
USA,New Mexico,"Albuquerue Aquarium, Albuquerue"
USA,Florida,"Long Key, Monroe County"
USA,Hawaii,"Rocky Point, north shore of O'ahu"
USA,Florida,Fort Lauderdale
USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County"
USA,California,"Limantour Beach, Point Reyes National Seashore"
USA,Hawaii,Moloka'i
USA,California,"Pismo Beach, San Luis Obispo County"
USA,California,"Lifeguard Tower 16, Huntington Beach, Orange County"
USA,Oregon,Gold  Beach
USA,Texas,South Padre Island
USA,South Carolina ,"North of Apache Pier, Myrtle Beach, Horry County"
USA,Florida,"New Smyrna Beach / Cape Canaveral  National Seashore, Brevard County"
USA,California,"204s, San Clemente, Orange County"
USA,California,"Kibesillah, Mendocino County"
USA,Florida,"Big Bayou, St. Petersburg, Pinellas County "
USA,Florida,"Cocoa  Beach, Brevard County"
USA,North Carolina,"Rodanthe, Dare County"
USA,North Carolina,"Carolina Beach, New Hanover County"
USA,Texas,Galveston Island
USA,Texas,"Bryan Beach, Brazoria County"
USA,Alabama,"Gulf Shores Beach, Baldwin County"
USA,California,"San Onofre State Beach, San Diego County"
USA,Florida,"Disney / Vero Beach, Indian River County"
USA,Florida,"Daytona Beach Shores, Volusia County"
USA,Texas,"Pirate's Beach, Galveston Island"
USA,California,"Salmon Creek, Sonoma County"
USA,Florida,"St. Augustine, St. John's County"
USA,Florida,St. Augustine  St. Johns County
USA,Florida,"Jacksonville Beach, Duval County"
USA,Texas,Channel between South Padre Island & Padre Island National Seashore
USA,Hawaii,"Kahana Beach, Maui"
USA,Hawaii,Velzyland
USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County"
USA,Florida,"Stuart Rocks, Martin County"
USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County"
USA,Florida,"Sanibel Island, Lee County"
USA,Hawaii,Punaluu
USA,Hawaii,"Kalihiwai Beach, Kauai"
USA,Florida,"Miami, Dade County"
USA,Florida,"Melbourne Beach, Brevard County"
USA,Florida,"Daytona Beach, Volusia County"
USA,Florida,"South Jetty, New Smyrna Beach, Volusia County"
USA,Florida,"Ponte Vedra Beach, St. Johns County"
USA,Hawaii,"Tunnels surf break off Makua Beach, Kaua'i"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Hawaii,Honolua Bay
USA,Florida,Near Patrick Air Force Base Brevard County
USA,Florida,Palm Beach?
USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County"
USA,Florida,"Stuart Park Beach, Martin County"
USA,Florida,"South Jetty, New Smyrna Beach, Volusia County"
USA,Florida,"Crawford Road beach approach at New Smyrna Beach, Volusia County"
USA,Hawaii,"Cove Beach / Kalama Beach, Kihei, Maui"
USA,Florida,"North Hutchinson Island, St. Lucie Couny"
USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County"
USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Bathtub Reef Beach, Martin County"
USA,Florida,"Daytona Beach, Volusia County "
USA,South Carolina,"Isle of Palms, Charleston County"
USA,Florida,"Boca Grande, Lee County"
USA,Texas,1.5 miles off Surfside 
USA,California,"Avila Beach, San Luis Obispo County"
USA,California,"Venice Beach, Los Angeles County"
USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County"
USA,Florida,"Daytona Beach, Volusia County"
USA,Florida,"Near New Smyrna Jetty, Volusia County"
USA,Florida,"Canova Beach, Brevard County"
USA,Florida,"Fort Lauderdale, Broward County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,St Augustine Beach. St. Johns County
USA,Florida,"Cocoa Beach, Brevard County"
USA,Hawaii,"Makua Beach, Oahu"
USA,Johnston Atoll,
USA,North Carolina,"Masonboro Island, New Hanover County"
USA,Florida,"Ponce Inlet, Volusia County"
USA,South Carolina,"Pawleys Island, Georgetown County"
USA,Florida,"Coral Cove Park, Jupiter Inlet, Palm Beach County"
USA,Florida,"Ponce de Leon Inlet, Volusia County "
USA,Hawaii,Between Magic Sands Beach and Kahaluu Beach on the Kona coast
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Daytona Beach Shores, Volusia County"
USA,Florida,"Melbourne Beach, Brevard County "
USA,Florida,"Shepard Park, Cocoa Beach, Brevard County "
USA,Florida,"Playalinda Beach, Brevard County"
USA,Florida,"Sunglow Pier, Daytona Beach Shores, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County  "
USA,Florida,"North Beach, Patrick AFB, Brevard County"
USA,Florida,"Cocoa Beach, Brevard County"
USA,Florida,"Melbourne Beach, Brevard County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Petting Tank, Florida Aquarium, Tampa, Hillsborough County"
USA,Florida,"Jupiter, Palm Beach County"
USA,California,"Salmon Creek, Sonoma County"
USA,Hawaii,Ka'anapali
USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Hawaii,"Kama'ole Beach Park I, Kihei, Maui"
USA,Florida,"Opposite main gate at Patrick Air Force Base, Cape Canaveral, Brevard County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Ormond Beach, Volusia County"
USA,Florida,"Sebastian Inlet, Brevard County"
USA,Hawaii,"Kahala, O'ahu"
USA,Florida,"Key Largo, Monroe County"
USA,Oregon,Cape Kiwanda
USA,California,"Moonstone Beach, Humboldt County"
USA,Hawaii,"Hideaways Beach, Princeville, Kaua'i"
USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County"
USA,Florida,"Daytona Beach Shores, Volusia County"
USA,Hawaii,"Kewalo Basin Channel, O'ahu"
USA,Alabama,"Gulf of Mexico, 65 miles offshore from Mobile"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Vero Beach, Indian River County"
USA,Florida,"Ponce De Leon Inlet, Volusia County"
USA,North Carolina,"Topsail Beach, Pender County"
USA,South Carolina,"Myrtle Beach, Horry County"
USA,North Carolina,"Emerald Isle, Carteret County"
USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County"
USA,Maryland,"100 miles off Ocean City, Maryland, in 7000' of water"
USA,North Carolina,"Wrightsville Beach, New Hanover County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Hawaii,"Anini Beach, Kaua'i"
USA,Florida,"St Augustine Beach, St Johns County"
USA,Florida,"South of Ponce Inlet, New Smyrna Beach, Volusia County"
USA,Florida,"Jensen Beach, Martin County "
USA,California,"Stinson Beach, Marin County"
USA,Florida,"St. George Island (near Apachicola), Franklin County"
USA,Florida,"a pier at the end of Caxambas Drive, Marco Island "
USA,Florida,"Atlantic Avenue, Palm Beach County"
USA,Florida,"Ten Thousand Islands National Wildlife Refuge, Collier County"
USA,Florida,"St. Augustine Beach, St. Johns County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Lauderdale-By-The-Sea, Broward County"
USA,Hawaii,"Brenecke Beach, Po'ipu, Kaua'i"
USA,Florida,"Cocoa Beach, Brevard County"
USA,Florida,"Daytona Beach Shores, Volusia County"
USA,Florida,"Deerfield Beach (near Boca Raton), Broward County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Hawaii,"Olowalu, Maui"
USA,Hawaii,"Kapalua, Maui"
USA,Florida,"Ponce Inlet, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"2 miles off Pompano Beach, Broward County"
USA,Florida,A quarter mile north of Fort Pierce Inlet
USA,North Carolina,"North Topsail Beach, Onslow County"
USA,Florida,"Everglades National Park, Monroe County"
USA,Florida,"Key Biscayne, Dade County"
USA,South Carolina,"Waites Island, Horry County"
USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County"
USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County"
USA,Florida,"Mayport Naval Station, Jacksonville, Duval Country"
USA,Virginia,"Sandbridge Beach, Princess Anne County"
USA,Florida,"Coquina Beach, Anna Maria Island, Manatee County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Daytona, Volusia County "
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Wilbur-by-the-Sea, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,South Carolina,"Near 70th Avenue, Myrtle Beach, Horry County"
USA,South Carolina,"Myrtle Beach, Horry County"
USA,Florida,"Taverniier, Monroe County"
USA,Florida,"Marathon , Monroe County"
USA,Massachusetts,Chatham Island
USA,Florida,"Santa Rosa Island, Escambia County"
USA,Florida,"Amelia Island, Nassau County"
USA,Florida,Gulf Islands National Seashore
USA,South Carolina,"Isle of Palms, Charleston County "
USA,Georgia,"Jekyll Island, Glynn County"
USA,Texas,Padre Island National Seashore
USA,California,Catalina Island
USA,South Carolina,"Off 21st Avenue, Isle of Palms, Charleston County"
USA,Texas,Galveston Island
USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County"
USA,South Carolina,"Fripp Island, Beaufort County"
USA,Florida,"Jacksonville, Duval County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Waveland Beach, Hutchinson Island, St Lucie County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach / Waveland, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach / Waveland, Volusia County"
USA,Hawaii,"Ewa Beach, O'ahu"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Bethune Beach, south of New Smyrna Beach, Volusia County"
USA,Hawaii,"Sandy Beach, Oahu"
USA,Florida,"Coral Cove Park, Jupiter Island, Martin County"
USA,California,"Sunset Cliffs, San Diego"
USA,Florida,"Bonita Springs, Lee County"
USA,Florida,"Vaughn Beach, Flagler County"
USA,California,"1/4 to 1/2 m north of the jetty at Bunkers, Eureka, Humboldt County"
USA,Florida,"Fort Pierce Inlet State Park, St Lucie County"
USA,Hawaii,Olowalu
USA,Florida,"South Beach, Sebastian, Indian River County"
USA,Florida,"Lake Worth Inlet/West Palm Beach, Palm Beach County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,North Carolina,"Wrightsville Beach, New Hanover County"
USA,California,"Mavericks, Half Moon Bay, San Mateo County"
USA,South Carolina,"Isle of Palms, Charleston County"
USA,Florida,"Fort Pierce Inlet, St Lucie County"
USA,Florida,"Sebastian Inlet, Indian River or Brevard County"
USA,Florida,"Daytona Beach Shores, Volusia County"
USA,Florida,"Vero Beach, Indian River County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Boca Ciega Bay, Tampa, Pinellas County"
USA,Alaska,Prince William Sound
USA,North Carolina,"Bouges Bank, Emerald Isle, Carteret County"
USA,Hawaii,"Kanaha Beach, Maui"
USA,Florida,"South Jacksonville Beach, Duval County"
USA,Florida,"St. Augustine, St. Johns County"
USA,North Carolina,"Emerald Isle, Carteret County"
USA,Florida,Florida Keys
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Big Pine Key, Monroe County "
USA,North Carolina,"Oceanic Pier, Wrightsville Beach, New Hanover County"
USA,North Carolina,"Holden Beach, Brunswick County"
USA,Florida,"Daytona  Beach, Volusia County"
USA,Florida,"Neptune Avenue, Ormond Beach, Volusia County"
USA,Texas,"Mustang Island, Corpus Christi"
USA,North Carolina,"Pine Island, Corolla, Currituck County"
USA,Florida,"Daytona Beach, Volusia County"
USA,Florida,"Artifical reef 3 miles off Manatee Beach, Manatee County"
USA,Florida,"Smyrna Dunes  Park, New Smyrna Beach, Volusia County"
USA,Florida,"Smyrna Dunes Park, New Smyrna Beach, Volusia County"
USA,Florida,"Seminole Avenue, Ormond Beach, Volusia County"
USA,Florida,"Pensacola Bay, Escambia County"
USA,Texas,"J.P. Luby Surf Park, Corpus Christi"
USA,Alabama,"Gulf Shores, Baldwin County"
USA,Alabama,"Gulf Shores, Baldwin County"
USA,Florida,"27th Avenue, New Smyrna Beach, Volusia County"
USA,Florida,"On the south side of Ponce Inlet, Volusia County"
USA,Florida,"Municipal Beach, Riviera Beach, Palm Beach County"
USA,Florida,Santa Rosa Sound Escambia County
USA,Florida,"Juno Beach, Palm Beach County"
USA,Florida,"Floridana Beach, Brevard County"
USA,Louisiana,Midnight Lump (38 miles offshore)
USA,Florida,"Riviera Beach, Palm Beach County"
USA,Florida,"Boca Grande, Lee County"
USA,California,"Off Ventura, Anacapa & Santa Cruz Islands"
USA,Florida,"Boynton Beach, Palm Beach County"
USA,Florida,"Palm Beach, Palm Beach County"
USA,Hawaii,"Big Island off Kona Village Resort, North Kona"
USA,California,"Waddell Reef, Santa Cruz County"
USA,Florida,"Daytona Beach, Volusia County"
USA,Florida,"Gulfstream Park beach, Palm Beach County"
USA,Florida,"Pet Den, Satellite Beach, Brevard County"
USA,Hawaii,Old Kona Airport State Park
USA,Florida,"South side of Ponce de Leon Inlet, Volusia County"
USA,California,"North of Pidgeon Point, San Mateo County"
USA,Florida,"Cape Canaveral, Brevard County"
USA,South Carolina,"Isle of Palms, Charleston County"
USA,Florida,"Fort Pierce Inlet, St. Lucie County"
USA,Florida,"World Typhoon Lagoon, Disney Water Park, Orange County"
USA,Florida,"Ponce Inlet, Volusia County"
USA,Florida,"Bethune Beach, south of New Smyrna Beach, Volusia County"
USA,North Carolina,"Fort Fisher, New Hanover County"
USA,Florida,"Ponce Inlet, Volusia County"
USA,South Carolina,"Grand Strand, Myrtle Beach, Horry County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Two miles off Key Colony Beach, Monroe County"
USA,Hawaii,Honoli'i in Hilo (west side of Big Island)
USA,South Carolina,Charleston
USA,Florida,"Pensacola  Beach, Escambia County"
USA,Florida,"11 miles off Dog Island in the Gulf of Mexico, Franklin County"
USA,Florida,"South of Ponce Inlet, Volusia County"
USA,Florida,"Atlantiic Beach, Duval County"
USA,Florida,"Atlantic Dunes Park, Delray Beach, Palm Beach County"
USA,Florida,"Hobe Sound Beach, Palm Beach County"
USA,Hawaii,"Olowalu side of Lahina, Maui "
USA,Hawaii,"Kealia Beach, Kaua'i"
USA,Hawaii,"Quarter mile offshore in Kaanapali, West Maui"
USA,North Carolina,Frying Pan Shoals
USA,Florida,"Hobe Sound, Martin County"
USA,Virginia,"Sandridge Beach, Virginia Beach, Princess Anne County"
USA,Florida,"Ormond Beach, Volusia County"
USA,Florida,"Ocean Beach, Jaycee Park, Vero Beach, Indian River County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"South Beach Park, Indian River County"
USA,Oregon,Winchester Bay
USA,Florida,"Jupiter Beach, Palm Beach County"
USA,Florida,"Sebastian Inlet, Indian River County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"The Rocks, Hutchinson Island, Martin County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Stuart Beach, Martin County"
USA,Florida,"Ponce Inlet, Volusia County"
USA,California,"Stinson Beach, Marin County"
USA,Virginia,Virginia Beach
USA,Florida,"Ponce Inlet, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Daytona Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Pecks Lake, Martin County"
USA,Florida,"Walden Rocks, St. Lucie County"
USA,Oregon,Gleneden Beach
USA,Florida,"Marathon, Monroe County"
USA,Florida,"Jensen Beach Park, Martin County"
USA,Florida,"Loggerhead Park, Juno Beach, Palm Beach County"
USA,Florida,"Jensen Beach, Martin County"
USA,Virginia,"Wreck of the Navy Barge, 22 miles SE of Rudee "
USA,Florida,"Fort Lauderdale, Broward County"
USA,Florida,"Hollywood Beach, Broward County"
USA,Florida,
USA,Hawaii,"Waiokapua Bay/Majors Bay, Brennecke Beach, Poipu, Kaua'i Island"
USA,Florida,"North Jetty, Fort Pierce Inlet State Park, St. Lucie County"
USA,Florida,"North Jetty, Fort Pierce Inlet State Park, St. Lucie County"
USA,Florida,"Daytona Beach, Volusia County"
USA,Florida,Volusia County  
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,California,"Clam Beach, near Eureka, Humboldt County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Texas,"East Beach, Galveston"
USA,Florida,"Carysfort Lighthouse, Key Largo, Monroe County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,South Carolina,"Myrtle Beach, Horry County"
USA,Hawaii,"Sunset Beach, Oahu"
USA,Florida, Palm Beach County
USA,Florida,"Daytona Beach Shores,  Volusia County"
USA,Florida,In Gulf of Mexico 17 miles off Weeki Wachee 
USA,Florida,"Flagler Beach, Flagler County"
USA,Florida,"Flagler Beach, Flagler County"
USA,Hawaii,"Sunset Beach, O'ahu"
USA,California,"Salmon Creek Beach, Sonoma County"
USA,Florida,"Coral Cove Park, Palm Beach County"
USA,California,"Dillon Beach, Marin County"
USA,Florida,"Cocoa Beach, Brevard County"
USA,California,"North Salmon Creek Beach, Sonoma County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Behune Beach, Volusia County"
USA,Florida,"Bethune Beach, Volusia County"
USA,South Carolina,"Garden City Beach, Horry County"
USA,Hawaii,"Paukukalo, Maui"
USA,California,"Bird Rock, Tomales Point"
USA,Florida,"Bayshore Garden, Sarasota Bay, Sarasota County"
USA,Florida,"Wiggins Pass, Collier County"
USA,Massachusetts,"Truro (Cape Cod), Barnstable County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Hawaii,"Nakalele Point, Maui"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Public Beach, Siesta Key, Sarasota County"
USA,South Carolina,"Fripp Island, Beaufort County"
USA,Florida,"South of Ponce Inlet, Volusia County"
USA,Florida,"Shark Shallows, Ponce Inlet, Volusia County"
USA,Hawaii,"La'ie Point, O'ahu"
USA,Missouri,St. Louis
USA,Florida,"Florida Keys, Monroe County"
